TIME,SPEED,RPM,Intake Temp.,MAF (g/s),Engine Load,Fuel Rail Press.,AFR,Long B2 Trim,Timing Adv.,Coolant Temp.
2023-08-05 00:27:10.381480,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:10.632302,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:10.883125,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:11.133969,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:11.386042,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:11.637248,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:11.888105,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:12.138895,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:12.391222,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:12.642401,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:12.893310,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:13.144143,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:13.394980,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:13.645759,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:13.896583,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:14.147371,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:14.398264,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:14.649213,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:14.900044,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:15.150926,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:15.401800,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:15.652607,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:15.903586,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:16.154405,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:16.405308,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:16.656054,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:16.906957,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:17.157819,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:17.408687,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:17.659464,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:17.910334,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:18.161265,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:18.412127,0,0,0,0,0,0,0,0,0,0
2023-08-05 00:27:18.664178,0,0,0,0,0,0,0,0,0,0
